site,cage,start.length,start.wetmass.nolabel,start.wetmass.label,end.length,dead,end.wetmass.label,notes,replacement,,
HOP,A06,23.65,2.47,2.34,23.33,0,2.26,,0,,
HOP,A06,23.39,2.37,2.31,22.67,0,2.11,eroded shell,0,,
HOP,A06,24.38,2.26,2.19,22.84,0,2.01,,0,,
HOP,A06,22.69,1.9,1.9,22.23,0,1.53,exrtra?,,,
HOP,A06,24.47,2.4,2.41,26.61,0,3.22,,1,,
HOP,A06,,,,26.75,0,3.32,,1,,
HOP,A10,22.69,2.2,2.19,24.39,0,2.39,very small body,1,,
HOP,A10,25.81,2.59,2.55,25.47,0,3.04,very small body,1,,
HOP,A10,24.86,2.59,2.6,24.36,0,2.62,maybe #13,0,,
HOP,A10,25.26,2.85,2.88,24.52,1,,,0,,
HOP,A10,24.43,2.35,2.37,23.44,0,2.16,very small body,0,,
HOP,A16,25.07,2.4,2.27,26.86,0,3.08,24?,0,,
HOP,A16,23.24,2.14,2.16,22.78,0,1.93,71,0,,
HOP,A16,25.29,3.04,2.96,23.39,0,2.09,30?,1,,
HOP,A16,24.42,2.42,2.4,24.5,0,2.49,36,0,,
HOP,A16,24.51,2.64,2.64,24.26,0,2.49,_3,0,,
HOP,B03,22.68,2.06,2.08,22.2,0,1.8,very small body,0,,
HOP,B03,25.8,3.01,2.95,25.46,0,2.84,,0,,
HOP,B03,24.21,2.29,2.25,24.72,0,2.48,found in B8? No maybe we read the number wrong or accidentally made two 49s?,0,,
HOP,B03,23.22,1.94,1.89,22.57,0,1.75,very small body,0,,
HOP,B03,24.52,2.7,2.68,24.16,0,2.48,small body,0,,
HOP,B08,24.74,2.69,2.63,24.65,0,2.65,,0,,
HOP,B08,26.33,2.94,2.91,25.61,0,2.57,very small body,0,,
HOP,B08,23.96,2.57,2.64,24.83,0,2.89,,0,,
HOP,B08,23.68,2.04,2.08,22.88,0,1.88,very small body,0,,
HOP,B08,23.47,2.04,2.05,23.02,0,1.95,,0,,
HOP,B12,23.92,2.32,2.27,25.71,0,3.13,,0,,
HOP,B12,23.7,2.37,2.35,23.12,0,2.15,,0,,
HOP,B12,25.41,2.64,2.6,24.64,0,2.77,,0,,
HOP,B12,26.18,2.82,2.78,26.22,0,2.79,,0,,
HOP,B12,22.87,2.13,2.24,22.67,0,2.42,,0,,
HOP,B13,24.72,2.8,2.77,24.55,0,2.73,,0,,
HOP,B13,25.09,2.81,2.81,25.22,0,2.81,,0,,
HOP,B13,22.93,1.98,1.98,22.65,0,1.83,no operculum,0,,
HOP,B13,22.73,2.12,2.13,22.99,0,2.17,,0,,
HOP,B13,24.49,2.04,2.12,26.02,0,2.64,,0,,
HOP,C14,23.64,2.24,2.22,23.15,,1.94,,0,,
HOP,C14,22.71,2.08,2.11,21.83,,1.91,,0,,
HOP,C14,24.65,2.6,2.59,23.91,0,2.43,,0,,
HOP,C14,24.4,2.49,2.48,23.91,,2.52,,0,,
HOP,C14,23.63,1.99,2.06,,,,,0,,
LOM,A04,23.31,1.96,1.83,26.72,0,3.36,formerly recorded as 32 but the teal in this bag is #8.,0,,
LOM,A04,22.3,1.83,1.82,,,,formerly recorded as 35 but now I don't see an orange.,,,
LOM,A04,22.81,1.97,2,24.02,0,2.62,"formerly recorded as 62 with no operculum, but on 10-21-19 it has a number 35 and it has an operculum.",0,24.22575,1.20916137
LOM,A04,24.92,2.38,2.5,26.79,0,3.17,,1,,
LOM,A04,25.87,3.09,3.06,25.99,0,3.42,formerly recorded as 8 but pink in this bag is 62 and has no operculum.,0,,
LOM,A04,,,,26.53,0,3.23,,,,
LOM,A07,23.81,2.13,2.08,28.67,0,3.64,fomerly #89 was recorded but the one in this bag clearly has a 1 on it.,0,,
LOM,A07,24.54,2.48,2.41,26.22,0,3.23,,0,,
LOM,A07,23.76,2.05,2.1,26.73,0,2.96,,0,,
LOM,A07,25.76,3.48,3.49,25.64,0,3.38,,0,,
